Woolworths Mini Banana Muffin8 pack,8,Servingsize:40g(1Muffin),Energy,576kJ,1440kJ,Protein,2.0g,5.1g,"Fat, total",5.2g,13.1g,– saturated,<1.0g,1.2g,Carbohydrate,20.4g,51.1g,– sugars,11.5g,28.7g,Sodium,169mg,423mg
Woolworths Caramel Slice Bites 8 pack,8,Servingsize:25g,Energy,484kJ,1940kJ,Protein,1.2g,4.6g,"Fat, total",5.5g,22.0g,– saturated,3.7g,14.9g,Carbohydrate,15.2g,61.0g,– sugars,6.5g,26.0g,Sodium,39mg,157mg
Woolworths Choc Mint Slices 8 pack,8,Servingsize:100g,Energy,Approx. 461kJ,Approx. 1850kJ,Protein,Approx. 1g,Approx. 3.7g,"Fat, total",Approx. 4g,Approx. 15.8g,– saturated,Approx. 2.4g,Approx. 9.4g,Carbohydrate,Approx. 17.5g,Approx. 70g,– sugars,Approx. 13.8g,Approx. 55g,Sodium,Approx. 72mg,Approx. 290mg
Woolworths Hedgehog Slice Bites 8 pack,8,Servingsize:25g,Energy,478kJ,1910kJ,Protein,1.5g,6.1g,"Fat, total",5.2g,21.0g,– saturated,3.3g,13.3g,Carbohydrate,14.8g,59.0g,– sugars,8.0g,32.0g,Sodium,82mg,330mg
Mission Wraps Mini Wheat 8 pack,8,Servingsize:48g,Energy,588kJ,1220kJ,Protein,4.5g,8.4g,"Fat, total",4.5g,9.4g,– saturated,2.5g,4.5g,Carbohydrate,30.5g,40.1g,– sugars,3.2g,2.6g,Sodium,418mg,870mg
Mission Wraps Mini Original 8 pack,8,Servingsize:48g,Energy,595kJ,1240kJ,Protein,3.7g,7.8g,"Fat, total",3.9g,8.1g,– saturated,1.9g,3.9g,Carbohydrate,21.7g,45.1g,– sugars,4.0g,8.3g,Sodium,379mg,790mg
Mission Wraps Roasted Garlic8 pack,8,Servingsize:71g,Energy,695kJ,1260kJ,Protein,5.6g,7.9g,"Fat, total",5.5g,7.8g,– saturated,2.6g,3.7g,Carbohydrate,33.9g,47.8g,– sugars,4.4,6.2g,Sodium,653m,920mg
Helgas Wholemeal Wraps 8 pack,8,Servingsize:70g(1wrap),Energy,850kJ,1210kJ,Protein,5.3g,7.6g,"Fat, total",5.3g,7.6g,– saturated,3.0g,4.3g,Carbohydrate,31.3g,44.7g,– sugars,1.5g,2.1g,Sodium,280mg,400mg
Mountain Bread Natural Light Wraps 8 pack,8,Servingsize:25g,Energy,310kJ,1240kJ,Protein,2.8g,11.3g,"Fat, total",0.3g,1.4g,– saturated,0.1g,0.4g,Carbohydrate,14.4g,57.4g,– sugars,0.6g,2.3g,Sodium,112mg,450mg
Woolworths Vol Au Vents Medium Unfilled 2pk 75g,2,Servingsize:100g,Energy,Approx. 874kJ,Approx. 2330kJ,Protein,Approx. 3g,Approx. 8.1g,"Fat, total",Approx. 14.2g,Approx. 38g,– saturated,Approx. 10.1g,Approx. 26.9g,Carbohydrate,Approx. 17g,Approx. 45.3g,– sugars,Approx. 1g,Approx. 1.3g,Sodium,Approx. 114mg,Approx. 304mg
Helga's Grain Bread Soy & Linseed 750g,9(16slicesand2crusts),Servingsize:94g,Energy,1020kJ,1090kJ,Protein,10.6g,11.3g,"Fat, total",6.0,6.4,– saturated,<1.0g,<1.0,Carbohydrate,33.7g,35.8,– sugars,3.0,3.2g,Sodium,375mg,400mg
9 Grain Tip Top Plus Wholemeal 750g,9.5(17slices+2crusts),Servingsize:79g(2Slices),Energy,822kJ,1040kJ,Protein,9.8g,12.4g,"Fat, total",5.1g,6.4g,– saturated,0.6g,0.7g,Carbohydrate,24.2g,30.6g,– sugars,1.5g,1.9g,Sodium,292mg,370mg
Helga's Square Loaf 10 Grains & Seeds 750g,8(15slicesand2crusts),Servingsize:94g(2slices),Energy,1120kJ,1190kJ,Protein,9.5g,10.1g,"Fat, total",3.9g,4.1g,– saturated,<1.0g,1.0g,Carbohydrate,45.7g,48.6g,– sugars,2.6g,2.8g,Sodium,375mg,400mg
Helga's Square Loaf 10 Grains & Seeds Wholemeal 750g,8(15slicesand2crusts),Servingsize:94g(2slices),Energy,1100kJ,1170kJ,Protein,10.0g,10.6g,"Fat, total",3.9g,4.1g,– saturated,<1.0g,<1.0g,Carbohydrate,43.1g,45.8g,– sugars,2.5g,2.7g,Sodium,375mg,400mg
Abbott's Village Bakery Harvest Seeds & Grains Bread 750g,9(16slices+2crusts),Servingsize:84g(2slices),Energy,916kJ,1090kJ,Protein,7.6g,9.0g,"Fat, total",4.0g,4.8g,– saturated,1.0g,0.6g,Carbohydrate,36.0g,42.9g,– sugars,2.5g,3.0g,Sodium,336mg,400mg
Abbott's Village Bakery Pumpkin Sunflower Seed & Caramelised Onion 750g,9.5(16slices+2crusts),Servingsize:84g(2slices),Energy,832kJ,990kJ,Protein,7.7g,9.2g,"Fat, total",1.8g,2.2g,– saturated,0.4g,0.5g,Carbohydrate,34.7g,41.3g,– sugars,2.9g,3.4g,Sodium,336mg,400mg
