318kJ
354kJ
1390
945kJ
534kJ
365kJ
269
1680kJ
555kJ
430kJ
648kJ
712kJ
156kJ
225kJ
201kJ
712kJ
175kJ
430kJ
333kJ
945kJ
1960kJ
2660kJ
682
1080
530kJ
450kJ
1230kJ
1010kJ
1283kJ
1405kJ
1656kJ
969kJ
853kJ
804kJ
1370kJ
469kJ
469kJ
426kJ
570kJ
1100kJ
1030kJ
326kJ
33kJ
576
536kJ
882kJ
1800kJ
755kJ
549kJ
1960kJ
945kJ
438kJ
565kJ
163kJ
446kJ
340kj
458kJ
458kJ
371
960kJ
1106kJ
525kJ
525kJ
825kJ
464kJ
648kJ
581kJ
556kJ
598g
567kJ
643kJ
736kJ
516kJ
1080kJ
636kJ
52
941kJ
287kJ
472kJ
1340kJ
819kj
360kJ
1100kJ
315kJ
748kJ
859kJ
398kJ
565kJ
646kj
1177kJ
908kJ
982kJ
394kJ
617kJ
612kJ
528kJ
282kJ
207kJ
666kj
335kJ
